Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
      0.4241      0.2763      0.0471     -0.1595     -0.8500     -0.2226     40.8009    -73.9391      0.1953      0.1491      0.3332     14.0030      5.5661      0.0000
      0.6918      0.4602      0.1471     -0.1036     -1.2112     -0.2973     40.8002    -73.9376      0.2998      0.1415      0.2328     16.7789      4.8727      0.0000
      0.7659      0.4880      0.1394     -0.1106     -1.2247     -0.3032     40.7996    -73.9361      0.2998      0.1415      0.2328     16.7789      4.0558      0.0023
      0.9212      0.5596      0.1688     -0.0913     -1.2800     -0.3555     40.7989    -73.9345      0.3860      0.1102      0.0591     25.4455      2.7781      0.1066
      0.8271      0.4727      0.1629     -0.0261     -0.8282     -0.2256     40.7981    -73.9326      0.3996      0.0977      0.0000      0.0000      2.9829      0.2562
     -0.7300     -0.6513      0.3853      0.2912      2.2688      0.6497     40.7838    -73.9801      0.1997      0.1362      0.5094     16.8971     21.9947      0.0431
     -0.2029     -0.1812      0.3288      0.2727      1.2294      0.2470     40.7830    -73.9783      0.5074      0.1516      0.3847     27.8548     24.1636      0.0000
     -0.3171     -0.3643      0.0435     -0.0463      0.9094      0.1286     40.7823    -73.9765      0.5074      0.1516      0.3847     27.8548     27.0408      0.0000
     -0.5612     -0.5893      0.0353     -0.0012      1.6641      0.3683     40.7825    -73.9751      0.6806      0.1493      0.2533     26.5665     26.2730      0.0000
     -0.6406     -0.5819      0.1876      0.1633      2.1106      0.5222     40.7828    -73.9737      0.6806      0.1493      0.2533     26.5665     26.5735      0.0000
     -0.6700     -0.5699      0.4059      0.4297      2.7259      0.7608     40.7822    -73.9722      0.7501      0.1370      0.0000      0.0000     27.9114      0.0000
     -0.3171     -0.2839      0.6941      0.6719      2.5688      0.7078     40.7814    -73.9708      0.7011      0.1353      0.0187      1.8530     27.0729      0.0000
     -0.4359     -0.4214      0.8594      0.8039      3.3824      0.8807     40.7805    -73.9694      0.6984      0.1592      0.1003     22.0000     31.0279      0.0000
     -0.6894     -0.6364      1.0159      0.9789      4.3459      1.2933     40.7796    -73.9681      0.4224      0.1390      0.5847     25.6248     31.8669      0.0000
     -0.3012     -0.2506      1.4518      1.4437      4.3988      1.3831     40.7788    -73.9667      0.4224      0.1390      0.5847     25.6248     33.0238      0.0000
     -0.0235     -0.0648      1.1194      1.0801      3.0288      0.8718     40.7779    -73.9653      0.2591      0.1167      0.4179     32.1295     23.7019      0.0000
     -0.4871     -0.4597      0.6618      0.6949      2.8124      0.8751     40.7770    -73.9640      0.2591      0.1167      0.4179     32.1295     22.8269      0.0000
