Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
           8          20           8
   Tdiff       Tdev        RHdiff      RHdev       DPdiff      DPdev       Lat        Lon
 -3.1307     -3.6473     -1.0728     -1.0834      0.8705      0.4384     40.7332    -73.9872
 -1.4826     -1.6648     -0.2521     -0.2991      0.5013      0.1573     40.7320    -73.9881
 -0.6838     -0.5090      0.3121      0.3530      0.6100      0.2220     40.7301    -73.9895
  1.1343      1.2931      3.8712      3.7423      4.1414      3.4082     40.7277    -73.9911
  0.7344      0.6461      3.1501      2.9669      2.4868      2.2984     40.7264    -73.9917
  1.9069      2.0863      2.4947      2.3095      1.3927      1.4663     40.7251    -73.9922
  2.0209      2.2782      2.7789      2.6574      1.9513      1.6758     40.7237    -73.9927
  1.5617      1.6570      2.0616      1.9573      1.1803      1.0547     40.7224    -73.9932
  1.5459      1.7084      2.2494      2.3263      1.8014      1.5934     40.7211    -73.9937
  2.7668      3.2692      3.0173      3.0266      1.9885      1.6356     40.7198    -73.9942
  2.0576      2.4901      2.1515      2.1021      0.8855      0.7402     40.7184    -73.9948
  2.4799      2.9680      3.0132      2.7310      1.4225      1.1333     40.7171    -73.9956
  2.0470      2.4833      2.7180      2.6967      1.8705      1.4766     40.7153    -73.9967
  2.1419      2.4074      3.0589      2.8846      1.9872      1.4117     40.7138    -73.9979
  1.2459      1.2894      1.7224      1.5773      1.2968      0.9821     40.7128    -73.9986
  2.9633      3.3532      2.9634      2.7457      1.6113      1.4332     40.7117    -73.9997
  3.0969      3.5354      3.4011      3.3887      0.7755      0.7522     40.7105    -74.0007
  2.2464      2.6832      2.9477      2.9073      0.6261      0.4698     40.7094    -74.0018
  0.7176      0.7449      2.2823      2.1988      2.0711      1.3883     40.7084    -74.0029
  0.1650      0.2963      3.2182      3.1344      4.4787      3.1293     40.7074    -74.0041
  0.2545      0.3244      3.9865      3.7274      5.6933      3.6933     40.7065    -74.0054
  0.8538      0.9486      3.8192      3.6288      4.4458      3.2314     40.7056    -74.0067
  0.3785      0.7424      2.8055      2.7621      4.1329      2.9134     40.7046    -74.0082
