Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
     -0.2373     -0.1919     -0.1733     -0.1973      0.0653     -0.0726     40.7660    -73.9815      0.2671     -0.0659      0.0808      0.1742      0.7138     83.0655     24.1631      0.0000
     -0.2787     -0.2140     -0.1627     -0.1723      0.1247     -0.0539     40.7653    -73.9798      0.3897     -0.0535      0.0671      0.1425      0.6227    105.3222     23.9764      0.0000
     -0.0887     -0.1057      0.1307      0.0552      0.3600      0.0400     40.7646    -73.9782      0.3122     -0.0588      0.0729      0.1567      0.6290     81.4802     20.2218      0.0000
     -0.0560     -0.0929     -0.0347     -0.1111     -0.0847     -0.0954     40.7640    -73.9766      0.3015     -0.0594      0.0794      0.1731      0.6959     72.6796     17.2072      0.0000
     -0.1853     -0.1536     -0.1427     -0.1389     -0.1300     -0.0310     40.7633    -73.9749      0.2285     -0.0704      0.0948      0.2082      0.7297     89.7299     16.2352      0.0000
     -0.1160     -0.0084     -0.0147     -0.0300     -0.2007     -0.0664     40.7626    -73.9733      0.3281     -0.0557      0.0687      0.1460      0.7247     88.2248     15.3351      0.0000
     -0.1007     -0.0143      0.0073     -0.0026     -0.1713     -0.0636     40.7619    -73.9716      0.2185     -0.0775      0.1133      0.2508      0.6490    131.2194     14.8626      0.0000
      0.1613      0.1591      0.1627      0.1092     -0.3013     -0.1337     40.7612    -73.9700      0.2333     -0.0676      0.1036      0.2294      0.6682     80.3657     13.9141      0.0000
      0.2447      0.2998      0.0760      0.0781     -0.7573     -0.2657     40.7605    -73.9684      0.2111     -0.0751      0.1039      0.2298      0.7127     75.4456     12.3508      0.0000
     -0.0347      0.0926     -0.2913     -0.2240     -1.0133     -0.3713     40.7598    -73.9667      0.2585     -0.0659      0.1059      0.2333      0.7313     39.6480     14.1912      0.0023
     -0.1587     -0.1362     -0.3073     -0.4316     -0.7947     -0.2931     40.7591    -73.9651      0.3407     -0.0490      0.1041      0.2257      0.5953     54.1836     16.2503      0.0295
