Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
          16      20.0000      8.00000
       Tdiff        Tdev      RHdiff       RHdev      DPdiff       DPdev         lat         lon        NDVI   greenness      albedo  brightness   Bareafrac     Bheight   elevation   water500m
      1.0425      1.1443     -1.3958      0.1105     -6.5125     -1.5944     40.7666    -73.9903      0.2017     -0.0779      0.0938      0.2078      0.6279     29.0437     10.2192      0.0045
      0.7533      0.8422     -1.7117     -0.1184     -6.7058     -1.6058     40.7654    -73.9912      0.2108     -0.0949      0.1476      0.3273      0.5821     22.9546     10.9046      0.0091
      0.8650      0.9438     -1.3533      0.2182     -6.0817     -1.4777     40.7641    -73.9922      0.2343     -0.0779      0.1150      0.2524      0.6233     17.8721     12.0575      0.0272
      1.2975      1.4321     -1.0950      0.4082     -6.3850     -1.5745     40.7629    -73.9931      0.2632     -0.0698      0.1311      0.2872      0.6636     18.3655      8.4144      0.0295
      1.0625      1.2293     -1.4942      0.0843     -6.8233     -1.6616     40.7616    -73.9940      0.1893     -0.0877      0.1427      0.3182      0.6360     21.7655      8.4747      0.0227
      0.9642      1.1467     -1.5567      0.0547     -6.7017     -1.6000     40.7604    -73.9949      0.1978     -0.0938      0.1336      0.2991      0.6043     24.0550      7.2186      0.0204
      1.1450      1.3593     -1.3050      0.2896     -6.4133     -1.5311     40.7591    -73.9958      0.1817     -0.0803      0.1154      0.2560      0.6131     84.3490      6.9483      0.0181
      0.7658      0.8589     -1.4475      0.1015     -5.9183     -1.4182     40.7578    -73.9967      0.1891     -0.0869      0.1297      0.2883      0.7570     45.5484      8.2758      0.0091
      0.4492      0.4920     -1.3425      0.2141     -5.0275     -1.1675     40.7566    -73.9977      0.1710     -0.0876      0.1306      0.2889      0.6923     52.4888     10.8365      0.0091
      0.5592      0.6576     -0.9700      0.5343     -4.2642     -0.9865     40.7553    -73.9986      0.2561     -0.0708      0.1084      0.2386      0.6099     32.4191     11.4579      0.0113
      0.4417      0.5047     -0.9650      0.4925     -4.0217     -0.9703     40.7541    -73.9995      0.1770     -0.0822      0.1181      0.2623      0.6622     37.7555     10.3406      0.0045
      0.4292      0.5513     -0.7525      0.7202     -3.5417     -0.8469     40.7528    -74.0004      0.2243     -0.0813      0.1393      0.3118      0.7312     25.1459      6.4306      0.0045
      0.2333      0.3227     -0.8983      0.5720     -3.4708     -0.8612     40.7516    -74.0013      0.2202     -0.0814      0.1342      0.2983      0.7490     24.7548      5.7814      0.0113
      0.0925      0.1168     -0.8908      0.5958     -3.1217     -0.7504     40.7499    -74.0025      0.1230     -0.1188      0.1579      0.3554      0.6958     29.5652      5.1860      0.0227
     -0.1680     -0.3013      0.1410      0.5958      0.4610      0.2180     40.7483    -74.0037      0.1714     -0.0900      0.1365      0.3055      0.6269     34.0040      3.8515      0.1361
     -0.3800     -0.5462      0.3350      0.8419      1.4650      0.5294     40.7471    -74.0046      0.2044     -0.0950      0.1414      0.3162      0.7286     29.8333      3.3451      0.2268
     -0.3450     -0.4646      0.4480      0.9400      1.6480      0.5265     40.7458    -74.0055      0.1744     -0.0944      0.1379      0.3063      0.7741     15.1045      3.5722      0.2562
     -0.2350     -0.2933      0.3420      0.8773      1.0550      0.3781     40.7446    -74.0064      0.1478     -0.0986      0.1421      0.3188      0.7634     21.1166      3.2888      0.3265
     -0.8680     -1.0517     -0.0660      0.5535      1.5290      0.5376     40.7434    -74.0074      0.2311     -0.0729      0.1056      0.2305      0.7919     48.7181      3.1652      0.3923
     -0.6620     -0.8578      0.5770      1.0594      2.9200      0.8483     40.7421    -74.0083      0.1344     -0.0697      0.0903      0.2020      0.7675     38.4687      2.6834      0.4671
     -0.3670     -0.5674      0.5930      1.1160      2.2070      0.7252     40.7409    -74.0087      0.1410     -0.0737      0.0939      0.2102      0.7406     18.0359      1.9119      0.4853
     -0.4430     -0.6331      0.5250      1.0149      2.2280      0.7158     40.7399    -74.0080      0.1602     -0.0874      0.1279      0.2857      0.7935     19.0359      3.2735      0.3719
     -0.3950     -0.5622      0.6740      1.1890      2.6200      0.8109     40.7385    -74.0081      0.2862     -0.0617      0.1201      0.2649      0.7642      9.8629      3.0179      0.3946
     -0.3830     -0.5618      0.7980      1.3241      3.0100      0.9273     40.7371    -74.0082      0.2483     -0.0623      0.1151      0.2540      0.6674     14.4793      3.3189      0.3810
     -0.3430     -0.4831      0.8920      1.4265      3.1220      0.9482     40.7357    -74.0083      0.3431     -0.0518      0.1049      0.2272      0.6275     15.5035      3.9439      0.3605
     -0.3880     -0.4905      0.8430      1.3570      3.1390      0.8752     40.7343    -74.0085      0.2939     -0.0679      0.1216      0.2660      0.6943     19.7811      4.3807      0.3379
     -0.5930     -0.7010      0.6880      1.2469      3.2840      0.8702     40.7328    -74.0086      0.1984     -0.0904      0.1478      0.3295      0.7149     18.0910      3.3044      0.3719
     -0.6910     -0.9044      0.6950      1.2321      3.5620      0.9406     40.7314    -74.0089      0.2923     -0.0676      0.1358      0.2995      0.6530     15.4752      3.2381      0.3651
     -0.5600     -0.6941      0.8380      1.4257      3.7030      0.9793     40.7300    -74.0091      0.1598     -0.0909      0.1436      0.3221      0.8633     33.1255      2.8857      0.4059
     -0.0570     -0.0576      1.1710      1.6675      3.2670      0.8939     40.7286    -74.0094      0.1472     -0.0937      0.1399      0.3126      0.6298     37.4291      2.8243      0.3991
     -0.0650     -0.0672      0.9590      1.4707      2.6880      0.7280     40.7273    -74.0097      0.1658     -0.0897      0.1343      0.3005      0.6795     30.1654      2.2215      0.4331
     -0.3140     -0.4050      0.5850      1.1439      2.3660      0.6131     40.7259    -74.0099      0.1839     -0.0810      0.1150      0.2559      0.7657     29.9688      2.3005      0.4127
     -0.4170     -0.4775      0.6230      1.1793      2.7090      0.6852     40.7245    -74.0102      0.2808     -0.0634      0.1181      0.2602      0.6869     25.0660      2.1495      0.4444
     -0.6060     -0.6890      0.6060      1.2302      3.0880      0.7877     40.7227    -74.0104      0.1717     -0.0896      0.1245      0.2770      0.7229     27.8111      2.5788      0.4218
     -0.5875     -0.6517     -0.4517     -0.8859     -0.0400      0.0334     40.8044    -73.9353      0.2730     -0.0695      0.1120      0.2449      0.7698     10.3532      4.5196      0.1497
     -0.5550     -0.7220     -0.2900     -0.7839      0.3367      0.1366     40.8032    -73.9361      0.1515     -0.1157      0.1752      0.3932      0.7792     13.9969      5.1828      0.0794
     -0.4567     -0.6236     -0.0725     -0.5456      0.8042      0.2250     40.8019    -73.9370      0.1998     -0.0983      0.1565      0.3486      0.5328     54.3660      4.8578      0.0249
     -0.3325     -0.4863     -0.3192     -0.7924     -0.1350      0.0077     40.8007    -73.9379      0.3196     -0.0569      0.1305      0.2856      0.6730     33.5395      5.0734      0.0000
     -0.0875     -0.1606      0.0633     -0.4174      0.2683      0.0818     40.7995    -73.9388      0.1479     -0.1048      0.1715      0.3858      0.6801     19.2313      5.1408      0.0000
      0.0275     -0.0253      0.0392     -0.4557      0.0567      0.0116     40.7983    -73.9397      0.2049     -0.0939      0.1662      0.3711      0.6188     17.3800      5.4787      0.0000
     -0.0350     -0.1095     -0.2350     -0.6790     -0.4958     -0.1205     40.7971    -73.9406      0.3417     -0.0687      0.1451      0.3211      0.6301     14.3140      5.8537      0.0068
     -0.1125     -0.2000     -0.4100     -0.8743     -0.7592     -0.1588     40.7959    -73.9415      0.5192     -0.0202      0.1220      0.2610      0.4926     12.9532      5.1927      0.0159
      0.1492      0.1620      0.0217     -0.4159     -0.2600     -0.0251     40.7947    -73.9423      0.2445     -0.0854      0.1834      0.4089      0.4829     26.4767      4.5689      0.0113
      0.3542      0.3918     -0.0617     -0.5171     -0.9850     -0.2176     40.7935    -73.9432      0.2322     -0.0798      0.1440      0.3164      0.5710     15.3022      4.5755      0.0136
      0.2775      0.3788     -0.2075     -0.6339     -1.2000     -0.3018     40.7923    -73.9441      0.2543     -0.0802      0.1285      0.2843      0.6232     23.8413      4.9920      0.0023
     -0.4908     -0.5357     -0.5658     -1.0086     -0.4017     -0.1099     40.7910    -73.9450      0.1911     -0.0979      0.1534      0.3433      0.7426     12.0941      5.7730      0.0091
     -0.2508     -0.3361      0.1083     -0.3691      0.8025      0.2255     40.7898    -73.9459      0.2194     -0.0859      0.1487      0.3327      0.6373     15.5585      5.5651      0.0136
     -0.0525     -0.0182     -0.0350     -0.4528     -0.0183      0.0319     40.7886    -73.9468      0.2609     -0.0776      0.1449      0.3221      0.5890     21.3995      5.6212      0.0181
     -0.1250     -0.1598     -0.1217     -0.5772     -0.0033      0.0167     40.7874    -73.9477      0.2345     -0.0810      0.1543      0.3450      0.6122     19.6610      8.0051      0.0317
