Observations: differences from average, differences normalized by SD;  Lat, Lon, surface parameters
variable count, bins per route, route count  (xdim, ydim, zdim with line count = ydim*zdim)
      14      20       8
        Tdev         Tsd       RHdev        RHsd       DPdev        DPsd         lat         lon        ndvi      albedo        area      height   elevation   water500m
      1.1450      1.3593     -1.3050      0.2896     -6.4133     -1.5311     40.7591    -73.9958      0.1417      0.1297      0.5091     15.8734      6.9483      0.0181
      0.7658      0.8589     -1.4475      0.1015     -5.9183     -1.4182     40.7578    -73.9967      0.0962      0.1485      0.3963     27.0560      8.2758      0.0091
      0.4492      0.4920     -1.3425      0.2141     -5.0275     -1.1675     40.7566    -73.9977      0.0962      0.1485      0.3963     27.0560     10.8365      0.0091
      0.5592      0.6576     -0.9700      0.5343     -4.2642     -0.9865     40.7553    -73.9986      0.0963      0.1444      0.3527     33.5725     11.4579      0.0113
      0.4417      0.5047     -0.9650      0.4925     -4.0217     -0.9703     40.7541    -73.9995      0.0963      0.1444      0.3527     33.5725     10.3406      0.0045
      0.4292      0.5513     -0.7525      0.7202     -3.5417     -0.8469     40.7528    -74.0004      0.1148      0.1597      0.6203     34.0508      6.4306      0.0045
      0.2333      0.3227     -0.8983      0.5720     -3.4708     -0.8612     40.7516    -74.0013      0.1501      0.1571      0.2846     43.1047      5.7814      0.0113
      0.0925      0.1168     -0.8908      0.5958     -3.1217     -0.7504     40.7499    -74.0025      0.3189      0.1601      0.3273     30.2762      5.1860      0.0227
     -0.1680     -0.3013      0.1410      0.5958      0.4610      0.2180     40.7483    -74.0037      0.2862      0.1636      0.3942     27.9948      3.8515      0.1361
     -0.3800     -0.5462      0.3350      0.8419      1.4650      0.5294     40.7471    -74.0046      0.2862      0.1636      0.3942     27.9948      3.3451      0.2268
     -0.3450     -0.4646      0.4480      0.9400      1.6480      0.5265     40.7458    -74.0055      0.2340      0.1609      0.4015     17.3463      3.5722      0.2562
     -0.2350     -0.2933      0.3420      0.8773      1.0550      0.3781     40.7446    -74.0064      0.2061      0.1530      0.3912     15.3247      3.2888      0.3265
     -0.8680     -1.0517     -0.0660      0.5535      1.5290      0.5376     40.7434    -74.0074      0.1439      0.1518      0.4311     23.0370      3.1652      0.3923
     -0.6620     -0.8578      0.5770      1.0594      2.9200      0.8483     40.7421    -74.0083      0.1439      0.1518      0.4311     23.0370      2.6834      0.4671
     -0.3670     -0.5674      0.5930      1.1160      2.2070      0.7252     40.7409    -74.0087      0.1411      0.1305      0.4632     12.2243      1.9119      0.4853
     -0.4430     -0.6331      0.5250      1.0149      2.2280      0.7158     40.7399    -74.0080      0.1528      0.1471      0.5255     26.4787      3.2735      0.3719
     -0.3950     -0.5622      0.6740      1.1890      2.6200      0.8109     40.7385    -74.0081      0.2149      0.1378      0.3977     18.7127      3.0179      0.3946
     -0.3830     -0.5618      0.7980      1.3241      3.0100      0.9273     40.7371    -74.0082      0.2149      0.1378      0.3977     18.7127      3.3189      0.3810
     -0.3430     -0.4831      0.8920      1.4265      3.1220      0.9482     40.7357    -74.0083      0.2114      0.1443      0.4716     16.2860      3.9439      0.3605
     -0.3880     -0.4905      0.8430      1.3570      3.1390      0.8752     40.7343    -74.0085      0.2114      0.1443      0.4716     16.2860      4.3807      0.3379
     -0.5930     -0.7010      0.6880      1.2469      3.2840      0.8702     40.7328    -74.0086      0.2329      0.1395      0.4518     25.0889      3.3044      0.3719
     -0.6910     -0.9044      0.6950      1.2321      3.5620      0.9406     40.7314    -74.0089      0.2329      0.1395      0.4518     25.0889      3.2381      0.3651
     -0.5600     -0.6941      0.8380      1.4257      3.7030      0.9793     40.7300    -74.0091      0.1542      0.1433      0.4542     31.1560      2.8857      0.4059
     -0.0570     -0.0576      1.1710      1.6675      3.2670      0.8939     40.7286    -74.0094      0.1199      0.1410      0.6184     29.5897      2.8243      0.3991
     -0.0650     -0.0672      0.9590      1.4707      2.6880      0.7280     40.7273    -74.0097      0.1199      0.1410      0.6184     29.5897      2.2215      0.4331
     -0.3140     -0.4050      0.5850      1.1439      2.3660      0.6131     40.7259    -74.0099      0.1508      0.1399      0.3535     22.5441      2.3005      0.4127
     -0.4170     -0.4775      0.6230      1.1793      2.7090      0.6852     40.7245    -74.0102      0.1508      0.1399      0.3535     22.5441      2.1495      0.4444
     -0.6060     -0.6890      0.6060      1.2302      3.0880      0.7877     40.7227    -74.0104      0.1133      0.1462      0.4866     32.3657      2.5788      0.4218
     -0.5875     -0.6517     -0.4517     -0.8859     -0.0400      0.0334     40.8044    -73.9353      0.1538      0.1697      0.0440      8.8414      4.5196      0.1497
     -0.5550     -0.7220     -0.2900     -0.7839      0.3367      0.1366     40.8032    -73.9361      0.2821      0.1516      0.0770     36.0449      5.1828      0.0794
     -0.4567     -0.6236     -0.0725     -0.5456      0.8042      0.2250     40.8019    -73.9370      0.2821      0.1516      0.0770     36.0449      4.8578      0.0249
     -0.3325     -0.4863     -0.3192     -0.7924     -0.1350      0.0077     40.8007    -73.9379      0.2998      0.1415      0.2328     16.7789      5.0734      0.0000
     -0.0875     -0.1606      0.0633     -0.4174      0.2683      0.0818     40.7995    -73.9388      0.1953      0.1491      0.3332     14.0030      5.1408      0.0000
      0.0275     -0.0253      0.0392     -0.4557      0.0567      0.0116     40.7983    -73.9397      0.1863      0.1332      0.3460     14.2302      5.4787      0.0000
     -0.0350     -0.1095     -0.2350     -0.6790     -0.4958     -0.1205     40.7971    -73.9406      0.1863      0.1332      0.3460     14.2302      5.8537      0.0068
     -0.1125     -0.2000     -0.4100     -0.8743     -0.7592     -0.1588     40.7959    -73.9415      0.3430      0.1435      0.2652     16.8499      5.1927      0.0159
      0.1492      0.1620      0.0217     -0.4159     -0.2600     -0.0251     40.7947    -73.9423      0.3430      0.1435      0.2652     16.8499      4.5689      0.0113
      0.3542      0.3918     -0.0617     -0.5171     -0.9850     -0.2176     40.7935    -73.9432      0.2820      0.1192      0.3794     16.7266      4.5755      0.0136
      0.2775      0.3788     -0.2075     -0.6339     -1.2000     -0.3018     40.7923    -73.9441      0.2738      0.1382      0.3149     17.5689      4.9920      0.0023
     -0.4908     -0.5357     -0.5658     -1.0086     -0.4017     -0.1099     40.7910    -73.9450      0.3317      0.1316      0.2935     18.9815      5.7730      0.0091
